"train.auc.mean","train.auc.std","test.auc.mean","test.auc.std"
0.987382,0.000291,0.787356,0.001964
0.987418,0.000306,0.78737,0.001979
0.987468,0.0003,0.787374,0.001977
0.987521,0.000307,0.787388,0.00198
0.987582,0.000291,0.787388,0.001984
0.987651,0.000294,0.787403,0.001987
0.987692,0.000271,0.787415,0.00198
0.987757,0.000288,0.78743,0.001985
0.98783,0.000287,0.787442,0.001978
0.987886,0.000277,0.787451,0.001986
0.987945,0.000263,0.787468,0.001984
0.987993,0.000272,0.787469,0.001981
0.988046,0.000263,0.787478,0.001978
0.988093,0.000262,0.787488,0.001969
0.988168,0.000254,0.787495,0.001952
0.988218,0.000264,0.787508,0.001942
0.988277,0.00025,0.787533,0.001949
0.988332,0.000252,0.787549,0.001948
0.988398,0.000251,0.787567,0.001959
0.988452,0.000254,0.787579,0.001958
0.988504,0.000237,0.787588,0.001948
0.988569,0.000235,0.787596,0.001942
0.988623,0.000234,0.787597,0.001942
0.988668,0.00024,0.787614,0.001943
0.98872,0.000228,0.787631,0.00194
0.988762,0.000205,0.787639,0.001946
0.988817,0.00021,0.787644,0.001945
0.988865,0.000221,0.787654,0.001949
0.988918,0.000221,0.787663,0.001945
0.988966,0.000237,0.787673,0.001933
0.988997,0.000232,0.787687,0.001933
0.989063,0.000233,0.787694,0.001929
0.989095,0.000238,0.787695,0.001927
0.989142,0.000235,0.787702,0.00192
0.989193,0.00023,0.78772,0.001933
0.989241,0.000226,0.787734,0.001927
0.989282,0.000225,0.787741,0.001932
0.989333,0.000217,0.787759,0.001936
0.989389,0.000205,0.787749,0.001937
0.989457,0.000202,0.78776,0.001943
0.989509,0.000193,0.787774,0.001927
0.989545,0.000184,0.787781,0.001919
0.98958,0.000185,0.787787,0.001922
0.989639,0.000175,0.787786,0.001928
0.989679,0.000157,0.787802,0.001912
0.989722,0.000162,0.787819,0.001912
0.989782,0.000184,0.787837,0.001928
0.989835,0.000192,0.787859,0.001915
0.989886,0.000194,0.787863,0.001908
0.989916,0.000186,0.78787,0.001906
0.989967,0.000175,0.787875,0.0019
0.990008,0.000176,0.787883,0.001907
0.990048,0.000179,0.787893,0.001906
0.990094,0.000178,0.787892,0.001918
0.990129,0.000178,0.787902,0.001926
0.99017,0.000177,0.787922,0.001935
0.990205,0.000163,0.787937,0.001933
0.990246,0.000174,0.787941,0.001943
0.990297,0.000154,0.787946,0.001949
0.990329,0.000139,0.78796,0.001944
0.990367,0.000147,0.787966,0.001931
0.990424,0.00015,0.787979,0.00192
0.990479,0.000139,0.787976,0.001917
0.990519,0.000134,0.787975,0.001915
0.990561,0.000133,0.787988,0.00192
0.990604,0.000148,0.788003,0.001909
0.990645,0.000165,0.788001,0.001907
0.990684,0.000166,0.788007,0.00191
0.990741,0.000163,0.788014,0.0019
0.990778,0.000177,0.788026,0.001891
0.990814,0.00017,0.788043,0.001895
0.990849,0.000178,0.788056,0.001889
0.990885,0.000181,0.788056,0.001886
0.990927,0.000196,0.788065,0.001895
0.990972,0.000186,0.788072,0.001892
0.991013,0.000192,0.788071,0.001897
0.991056,0.000191,0.78808,0.00189
0.991092,0.000186,0.788093,0.001889
0.991127,0.000196,0.788092,0.001899
0.991166,0.000201,0.788108,0.001886
0.991217,0.000196,0.788119,0.001895
0.991254,0.000203,0.788133,0.001898
0.991291,0.000213,0.788143,0.001905
0.991325,0.000204,0.788142,0.001913
0.99136,0.000205,0.788148,0.001919
0.991393,0.000207,0.788156,0.001902
0.99142,0.0002,0.788167,0.001905
0.991447,0.000212,0.788171,0.0019
0.99148,0.00021,0.788183,0.001912
0.991513,0.000208,0.788191,0.001913
0.991547,0.000204,0.788196,0.001916
0.991587,0.000193,0.788204,0.001909
0.991615,0.000202,0.788203,0.00191
0.991647,0.000199,0.788215,0.001906
0.99168,0.000195,0.788233,0.001899
0.991723,0.000198,0.788252,0.001903
0.991769,0.000195,0.788258,0.001905
0.991814,0.00019,0.788269,0.001896
0.991845,0.000188,0.78827,0.001891
0.991882,0.000189,0.788293,0.001881
0.991914,0.000204,0.788301,0.001884
0.991939,0.000192,0.788307,0.001871
0.991977,0.000208,0.78831,0.001873
0.992015,0.000202,0.788314,0.001861
0.992051,0.000202,0.788318,0.001872
0.992092,0.000204,0.788326,0.001884
0.992127,0.000207,0.788322,0.00188
0.992161,0.000204,0.788334,0.001885
0.992201,0.000198,0.788339,0.001903
0.992243,0.000186,0.788362,0.001902
0.992274,0.000189,0.788362,0.00189
0.992305,0.000197,0.788367,0.001904
0.992338,0.000196,0.788374,0.001902
0.992369,0.000187,0.788384,0.001894
0.992413,0.000187,0.788391,0.00188
0.992463,0.000201,0.788392,0.001888
0.9925,0.00021,0.788388,0.001893
0.992533,0.000213,0.788394,0.001892
0.992579,0.000215,0.788391,0.00188
0.992615,0.000202,0.788394,0.001893
0.992644,0.000201,0.788389,0.001892
0.992671,0.000205,0.788393,0.001885
0.992703,0.000193,0.788402,0.00188
0.992743,0.000205,0.788417,0.001888
0.992775,0.000201,0.788429,0.001886
0.992806,0.000196,0.788447,0.001883
0.99284,0.000197,0.788453,0.001877
0.992869,0.000206,0.78845,0.001884
